FECHA,TMAX,TMIN,NOMBRE
7032023,,17.5,EL TREBOL
7032023,31.4,16.5,ESCUELA DE AVIACION MILITAR AERO
7032023,22.5,,ESQUEL AERO
7032023,34.3,22.3,EZEIZA AERO
7032023,31.7,20.2,FORMOSA AERO
7032023,30.1,18,GENERAL PICO AERO
7032023,20,5,GOBERNADOR GREGORES AERO
7032023,35,19.9,GUALEGUAYCHU AERO
7032023,33.6,18.4,IGUAZU AERO
7032023,32.8,18,ITUZAINGO
7032023,33,13.5,JACHAL
7032023,29.4,20.4,JUJUY AERO
7032023,25,18.4,JUJUY U N
7032023,32,17,JUNIN AERO
7032023,32.7,22.1,LA PLATA AERO
7032023,23,6.5,LA QUIACA OBSERVATORIO
7032023,33,21.5,LA RIOJA AERO
7032023,30.2,15.4,LABOULAYE AERO
7032023,33,16.5,LAS FLORES
7032023,31.9,21.6,LAS LOMITAS
7032023,27.8,9.1,MALARGUE AERO
7032023,24,8.8,MAQUINCHAO
7032023,28.2,17.7,MAR DEL PLATA AERO
7032023,31.6,15.6,MARCOS JUAREZ AERO
7032023,35,,MARIANO MORENO AERO
7032023,33,17,MENDOZA AERO
7032023,31.7,15.5,MENDOZA OBSERVATORIO
7032023,32.5,20.5,MERCEDES AERO (CTES)
7032023,,20.8,MERLO AERO
7032023,28.5,19,METAN
7032023,,21,MONTE CASEROS AERO
7032023,33.7,21.8,MORON AERO
7032023,30.2,16,NEUQUEN AERO
7032023,33.6,20.5,NUEVE DE JULIO
7032023,32.5,20,OBERA
7032023,27.6,17.1,OLAVARRIA AERO
7032023,30.6,23.4,ORAN AERO
7032023,34.4,20.7,PARANA AERO
7032023,24.8,6.5,PASO DE INDIOS
7032023,33.2,20,PASO DE LOS LIBRES AERO
7032023,29.2,20.5,PEHUAJO AERO
7032023,,6,PERITO MORENO AERO
7032023,27.3,18.4,PIGUE AERO
7032023,32.1,16.6,PILAR OBSERVATORIO
7032023,33,21.1,POSADAS AERO
7032023,27,21,PRESIDENCIA ROQUE SAENZ PEÑA AERO
7032023,20,5,PUERTO DESEADO AERO
7032023,21.4,11,PUERTO MADRYN AERO
7032023,29.8,21.8,PUNTA INDIO B.A.
7032023,33.5,18,RAFAELA AERO
7032023,32.1,21.5,RECONQUISTA AERO
7032023,27.1,18.4,RESISTENCIA AERO
7032023,,,RIO COLORADO
7032023,28.6,14.7,RIO CUARTO AERO
7032023,21.5,3,RIO GALLEGOS AERO
7032023,13.8,2,RIO GRANDE B.A.
7032023,32,23.8,RIVADAVIA
7032023,34.2,19,ROSARIO AERO
7032023,28.6,19.1,SALTA AERO
7032023,32,18.2,SAN ANTONIO OESTE AERO
7032023,31.5,13.7,SAN CARLOS (MZA)
7032023,33,18.6,SAN FERNANDO AERO
7032023,36,17,SAN JUAN AERO
7032023,24,5.2,SAN JULIAN AERO
7032023,32.4,15,SAN LUIS AERO
7032023,34.4,16.9,SAN MARTIN (MZA)
7032023,31,13.3,SAN RAFAEL AERO
7032023,21,2.8,SANTA CRUZ AERO
7032023,30.6,18,SANTA ROSA AERO
7032023,32.7,,SANTA ROSA DE CONLARA AERO
7032023,33.4,20,SANTIAGO DEL ESTERO AERO
7032023,35.4,18.8,SAUCE VIEJO AERO
7032023,33.6,18.9,SUNCHALES AERO
7032023,28.8,15.1,TANDIL AERO
7032023,30.5,21.9,TARTAGAL AERO
7032023,32.7,20.3,TERMAS DE RIO HONDO AERO
7032023,34,20.2,TINOGASTA
7032023,26.4,10.1,TRELEW AERO
7032023,,18.4,TRENQUE LAUQUEN
7032023,31.3,17.7,TRES ARROYOS
7032023,30.4,19,TUCUMAN AERO
7032023,12.9,2.9,USHUAIA AERO
7032023,30.3,14.6,USPALLATA
7032023,30.5,16,VENADO TUERTO AERO
7032023,30.8,14.7,VICTORICA
7032023,,17.4,VIEDMA AERO
7032023,31,16.2,VILLA DE MARIA DEL RIO SECO
7032023,32.9,14.8,VILLA DOLORES AERO
7032023,29.9,19.2,VILLA GESELL AERO
7032023,29,11.2,VILLA REYNOLDS AERO
6032023,32.1,25.1,AEROPARQUE AERO
6032023,35.8,22.5,AZUL AERO
6032023,38,24.6,BAHIA BLANCA AERO
6032023,21.1,13.4,BARILOCHE AERO
6032023,-9.5,-13.6,BASE BELGRANO II
6032023,3.8,2,BASE CARLINI (EX JUBANY)
6032023,2.6,0.1,BASE ESPERANZA
6032023,0.7,-1.4,BASE MARAMBIO
6032023,2.2,0.4,BASE ORCADAS
6032023,4.7,0.6,BASE SAN MARTIN
6032023,35.7,21.9,BENITO JUAREZ AERO
6032023,27.6,15.9,BERNARDO DE IRIGOYEN AERO
6032023,37.9,21.5,BOLIVAR AERO
6032023,33.6,25.4,BUENOS AIRES OBSERVATORIO
6032023,,24,CAMPO DE MAYO AERO
6032023,37,27.4,CATAMARCA AERO
6032023,35,21.4,CERES AERO
6032023,38,21,CHAMICAL AERO
6032023,21.6,13.4,CHAPELCO AERO
6032023,34.5,17,CHEPES
6032023,,20,CHILECITO AERO
6032023,37.6,17.1,CIPOLLETTI
6032023,28.1,16.4,COMODORO RIVADAVIA AERO
6032023,34,21.1,CONCORDIA AERO
6032023,34.5,18.1,CORDOBA AERO
6032023,35.5,18.6,CORDOBA OBSERVATORIO
6032023,37.1,21.3,CORONEL PRINGLES AERO
6032023,37,22.2,CORONEL SUAREZ AERO
6032023,33.3,20,CORRIENTES AERO
6032023,35.3,20.1,DOLORES AERO
6032023,24.9,13.9,EL BOLSON AERO
6032023,15.9,0,EL CALAFATE AERO
6032023,38.3,24.6,EL PALOMAR AERO
6032023,,,EL TREBOL
6032023,34.4,18.2,ESCUELA DE AVIACION MILITAR AERO
6032023,21.5,,ESQUEL AERO
6032023,35.2,25,EZEIZA AERO
6032023,35.5,19.8,FORMOSA AERO
6032023,35,19.5,GENERAL PICO AERO
6032023,19.4,8.5,GOBERNADOR GREGORES AERO
6032023,35,22.2,GUALEGUAYCHU AERO
6032023,31,18.6,IGUAZU AERO
6032023,34.5,18.5,ITUZAINGO
6032023,36.5,16,JACHAL
6032023,32.3,20.7,JUJUY AERO
6032023,30,16.3,JUJUY U N
6032023,37.8,20.9,JUNIN AERO
6032023,34.2,24,LA PLATA AERO
6032023,22.8,5.5,LA QUIACA OBSERVATORIO
6032023,39.5,26.5,LA RIOJA AERO
6032023,36.3,18.3,LABOULAYE AERO
6032023,36.3,23,LAS FLORES
6032023,38,22.6,LAS LOMITAS
6032023,31.4,11,MALARGUE AERO
6032023,28.2,8.4,MAQUINCHAO
6032023,34.8,21.8,MAR DEL PLATA AERO
6032023,36,16.6,MARCOS JUAREZ AERO
6032023,34.8,,MARIANO MORENO AERO
6032023,30.6,23.4,MENDOZA AERO
6032023,28.7,22,MENDOZA OBSERVATORIO
6032023,33,20.5,MERCEDES AERO (CTES)
6032023,,24.6,MERLO AERO
6032023,32,21.5,METAN
6032023,,20.9,MONTE CASEROS AERO
6032023,34.4,25.5,MORON AERO
6032023,37.4,14.4,NEUQUEN AERO
6032023,37.9,21.6,NUEVE DE JULIO
6032023,31.5,19,OBERA
6032023,36.2,19.2,OLAVARRIA AERO
6032023,35.8,24.8,ORAN AERO
6032023,36.6,23,PARANA AERO
6032023,25.5,13,PASO DE INDIOS
6032023,33.1,20.6,PASO DE LOS LIBRES AERO
6032023,37.5,22.5,PEHUAJO AERO
